docdb_family_id,earliest_year,office,bloc,family_size,similarity,ai_score,found_by_query,band,era,g06n,cluster,neuro,ml
18351440,1993,JP,JP,3,0.7285,0.6836,cross:deep brain stimulation|speech communication,E,pre2010,0,,,
38723904,2006,US,US,2,0.7285,0.6953,cross:peripheral nerve recording|speech communication,E,pre2010,0,,,
44630113,2011,US,US,2,0.7285,0.6953,cross:peripheral nerve stimulation|speech communication,E,2010s,0,,,
76502785,2020,US,US,5,0.7285,0.7031,cross:fMRI|hearing restoration,E,2020+,0,,,
82931171,2021,KR,KR,2,0.7285,0.7344,cross:dry electrode headset|speech communication,E,2020+,0,,,
94166005,2024,CN,CN,1,0.7285,0.7188,cross:peripheral nerve recording|speech communication,E,2020+,1,,,
95510812,2023,CN,CN,1,0.7285,0.6836,cross:transcranial magnetic|speech communication,E,2020+,0,,,
5839310,1972,DE,EP,1,0.7285,0.6934,cross:ECoG grid|speech communication,E,pre2010,0,,,
17070550,1994,TW,OTHER,7,0.7285,0.6895,cross:ECoG grid|speech communication,E,pre2010,0,,,
22246395,1998,US,US,1,0.7285,0.0,cross:ECoG grid|speech communication,E,pre2010,0,,,
65897630,2018,US,US,2,0.7285,0.6816,cross:ECoG grid|speech communication,E,2010s,0,,,
13897832,1977,JP,JP,1,0.7285,0.6953,cross:fNIRS|speech communication,E,pre2010,0,,,
22945641,1972,US,US,1,0.7285,0.7227,cross:peripheral nerve recording|speech communication,E,pre2010,0,,,
23507113,1982,US,US,2,0.7285,0.6953,cross:peripheral nerve stimulation|speech communication,E,pre2010,0,,,
46859111,2007,CN,CN,15,0.7285,0.6992,cross:focused ultrasound|speech communication,E,pre2010,0,,,
51789630,2013,TW,OTHER,2,0.7285,0.7109,cross:peripheral nerve recording|speech communication,E,2010s,0,,,
71088088,2018,KR,KR,1,0.7285,0.7305,cross:deep brain stimulation|speech communication,E,2010s,1,,,
78104562,2021,CN,CN,1,0.7285,0.0,cross:peripheral nerve recording|speech communication,E,2020+,0,,,
9241028,1980,FR,EP,14,0.7285,0.7285,cross:ECoG grid|speech communication,E,pre2010,0,,,
13425571,1975,JP,JP,1,0.7285,0.7168,cross:ECoG grid|speech communication,E,pre2010,0,,,
23500270,1989,US,US,1,0.7285,0.6895,cross:MEG|speech communication,E,pre2010,0,,,
34957262,2004,US,US,5,0.7285,0.0,cross:ECoG grid|speech communication,E,pre2010,0,,,
40028428,2008,US,US,1,0.7285,0.6895,cross:ECoG grid|speech communication,E,pre2010,0,,,
42991124,2009,US,US,6,0.7285,0.0,cross:ECoG grid|speech communication,E,pre2010,0,,,
25811620,1984,DE,EP,1,0.7285,0.6934,cross:intracortical microelectrode|parkinson,E,pre2010,0,,,
34653637,2003,US,US,3,0.7285,0.6797,cross:intracortical microelectrode|parkinson,E,pre2010,0,,0,0
34965339,2004,US,US,4,0.7285,0.6895,cross:intracortical microelectrode|parkinson,E,pre2010,0,,0,0
43826497,2009,EP,EP,3,0.7285,0.6816,cross:intracortical microelectrode|parkinson,E,pre2010,0,,0,0
46085425,2012,EP,EP,3,0.7285,0.6934,cross:intracortical microelectrode|parkinson,E,2010s,0,,2,0
60191520,2017,WO,WO,9,0.7285,0.7285,cross:intracortical microelectrode|parkinson,E,2010s,0,,2,1
76345937,2021,CN,CN,1,0.7285,0.709,cross:intracortical microelectrode|parkinson,E,2020+,0,,2,1
82901440,2021,US,US,1,0.7285,0.0,cross:intracortical microelectrode|parkinson,E,2020+,0,,0,0
91898095,2024,US,US,2,0.7285,0.0,cross:intracortical microelectrode|parkinson,E,2020+,0,,0,0
43389206,2010,CN,CN,1,0.7285,0.0,cross:optogenetic|parkinson,E,2010s,0,,,
37830962,2005,US,US,1,0.7285,0.0,cross:vagus nerve|parkinson,E,pre2010,0,,,
66529954,2018,US,US,2,0.7285,0.7402,cross:MEG|speech communication,E,2010s,1,,2,1
39304801,2006,US,US,3,0.7285,0.7109,cross:transcranial current|depression,E,pre2010,0,,,
42233514,2009,US,US,2,0.7285,0.6797,cross:MEG|depression,E,pre2010,0,,,
80826679,2021,CN,CN,1,0.7285,0.0,cross:fMRI|motor restoration,E,2020+,1,,0,0
8302792,1998,ES,OTHER,2,0.7285,0.6914,cross:fMRI|motor restoration,E,pre2010,0,,,
87929570,2020,MX,OTHER,1,0.7285,0.0,cross:cochlear implant|depression,E,2020+,0,,,
95096603,2024,CN,CN,1,0.7285,0.0,cross:intracortical microelectrode|neurorehabilitation,E,2020+,0,,2,0
27542138,1997,CZ,OTHER,16,0.7285,0.6797,cross:spinal cord stimulation|epilepsy,E,pre2010,0,,,
39092955,2007,EP,EP,3,0.7285,0.7109,cross:in-ear EEG|depression,E,pre2010,0,,,
41417134,2009,US,US,2,0.7285,0.6758,cross:transcranial current|depression,E,pre2010,0,,,
70058448,2019,US,US,2,0.7285,0.6895,cross:vagus nerve|depression,E,2010s,0,,0,0
93941389,2024,CN,CN,1,0.7285,0.6895,cross:intracortical microelectrode|sleep staging,E,2020+,0,,2,1
9511158,1997,FR,EP,3,0.7285,0.0,cross:optogenetic|depression,E,pre2010,0,,,
9303774,1984,IL,OTHER,18,0.7285,0.0,cross:intracortical microelectrode|chronic pain,E,pre2010,0,,2,0
36102094,2002,US,US,1,0.7285,0.0,cross:intracortical microelectrode|chronic pain,E,pre2010,0,,0,0
39231010,2007,US,US,5,0.7285,0.6895,cross:intracortical microelectrode|chronic pain,E,pre2010,0,,0,0
59274269,2017,EP,EP,4,0.7285,0.0,cross:intracortical microelectrode|chronic pain,E,2010s,0,,2,0
74195175,2020,WO,WO,6,0.7285,0.6934,cross:intracortical microelectrode|chronic pain,E,2020+,0,,2,0
78960849,2021,CN,CN,1,0.7285,0.6953,cross:intracortical microelectrode|chronic pain,E,2020+,1,,0,0
20224472,1999,RU,OTHER,1,0.7285,0.6992,cross:focused ultrasound|chronic pain,E,pre2010,0,,0,0
34965380,2004,US,US,2,0.7285,0.0,cross:intracortical microelectrode|attention monitoring,E,pre2010,0,,0,0
20235833,2000,RU,OTHER,1,0.7285,0.0,cross:implanted neural probe|chronic pain,E,pre2010,0,,0,0
47010322,2012,US,US,4,0.7285,0.0,cross:implanted neural probe|chronic pain,E,2010s,0,,,
75912913,2020,WO,WO,2,0.7285,0.0,cross:ECoG grid|chronic pain,E,2020+,0,,0,0
86171622,2023,CN,CN,1,0.7285,0.0,cross:spinal cord stimulation|chronic pain,E,2020+,0,,,
22571681,1988,US,US,8,0.7285,0.0,cross:MEG|chronic pain,E,pre2010,0,,,
51494563,2014,AU,OTHER,2,0.7285,0.0,cross:MEG|chronic pain,E,2010s,0,,2,0
57226660,2016,AU,OTHER,3,0.7285,0.0,cross:MEG|chronic pain,E,2010s,0,,2,0
94665878,2024,CN,CN,1,0.7285,0.0,cross:implanted neural probe|chronic pain,E,2020+,0,,2,0
47050489,2012,CN,CN,1,0.7285,0.0,cross:MEG|chronic pain,E,2010s,0,,0,0
50830797,2010,UA,OTHER,1,0.7285,0.0,cross:focused ultrasound|chronic pain,E,2010s,0,,,
50854193,2012,CN,CN,1,0.7285,0.6855,cross:optogenetic|chronic pain,E,2010s,0,,2,0
86771218,2021,KR,KR,1,0.7285,0.0,cross:intracortical microelectrode|sleep staging,E,2020+,0,,,
96037747,2025,CN,CN,1,0.7285,0.0,cross:intracortical microelectrode|sleep staging,E,2020+,1,,,
94661612,2024,CN,CN,1,0.7285,0.0,cross:ECoG grid|sleep staging,E,2020+,1,,2,0
47139449,2011,CN,CN,3,0.7285,0.0,cross:vagus nerve|sleep staging,E,2010s,0,,,
64006271,2018,CN,CN,1,0.7285,0.6895,cross:ECoG grid|sleep staging,E,2010s,1,,,
3823720,2000,AU,OTHER,7,0.7285,0.0,cross:peripheral nerve recording|sleep staging,E,pre2010,0,,,
86576571,2023,CN,CN,1,0.7285,0.6816,cross:fMRI|sleep staging,E,2020+,0,,0,1
93151710,2024,WO,WO,1,0.7285,0.0,cross:fMRI|sleep staging,E,2020+,0,,,
32682358,2003,WO,WO,4,0.7285,0.0,cross:optogenetic|sleep staging,E,pre2010,0,,,
